vesselName,callSign,imoNumber,flag,departedTime
YU MING,BPHA,9613886,CN,2025-07-01 12:00:00
SINDO 31,9V5176,8888173,SG,2025-07-01 12:00:00
SUNLIGHT AURORA,9V7592,5631782,SG,2025-07-01 12:03:00
QUEEN STAR 8,9V3847,9797125,SG,2025-07-01 12:12:00
SUKSES ABADI 02,YB3679,5630168,ID,2025-07-01 12:14:00
HORIZON 6,9V3269,9764609,SG,2025-07-01 12:15:00
ABHIMATA 1,,5251012,ID,2025-07-01 12:17:00
OCEANA RIVER,9V5806,9800738,SG,2025-07-01 12:20:00
FIRENZE K,HOUO,9245782,PA,2025-07-01 12:22:00
WAVEMASTER 9,9V6140,9275232,SG,2025-07-01 12:23:00
YEO LIGHTER 3,V3OH6,3122500,BZ,2025-07-01 12:25:00
JET FLYTE I,9V5460,9149603,SG,2025-07-01 12:29:00
ANDROMEDA V,9V9256,9174115,SG,2025-07-01 12:31:00
ROADRUNNER,V7EN4,9438042,MH,2025-07-01 12:35:00
WAVEMASTER 7,9V6138,9264257,SG,2025-07-01 12:49:00
ABHIMATA 2,YBA4279,3126330,ID,2025-07-01 12:52:00
BINTANG BAHARI,YC4445,0,ID,2025-07-01 13:00:00
WAN HAI 510,9VJJ8,9326433,SG,2025-07-01 13:05:00
ANDES,5LCP6,9265366,LR,2025-07-01 13:05:00
OOCL BELGIUM,VRVQ9,9169419,HK,2025-07-01 13:10:00
MARLIN SANTORINI,V7A5106,9835836,MH,2025-07-01 13:10:00
HORIZON 8,9V2414,9732125,SG,2025-07-01 13:17:00
CAPE VENUS,9V7603,9939527,SG,2025-07-01 13:20:00
GENTING DREAM,C6BO5,9733105,BS,2025-07-01 13:35:00
KOTA LIHAT,9V7473,9628324,SG,2025-07-01 13:45:00
SG FORTUNE,9V3016,0,SG,2025-07-01 13:45:00
UNITY OF MAJESTIC,9V3152,1035284,SG,2025-07-01 13:46:00
BYD XIAN,VRWY4,9993975,HK,2025-07-01 14:00:00
SEA ABUNDANCE,9VLP2,9711080,SG,2025-07-01 14:00:00
ARIA BUPALA,9V5109,9123556,SG,2025-07-01 14:11:00
EXEED,3E8823,9228033,PA,2025-07-01 14:15:00
SEA FLYTE,YB3450,8623248,ID,2025-07-01 14:16:00
AUZONIA,D5TT5,9353670,LR,2025-07-01 14:20:00
HORIZON 9,9V2413,9732113,SG,2025-07-01 14:21:00
BUANA BETA,YDB3165,9899210,ID,2025-07-01 14:22:00
BUANA OCEAN 09,,5655480,ID,2025-07-01 14:22:00
WATERFRONT 2,9V5525,9174529,SG,2025-07-01 14:23:00
JOLLY ROSE,V3HH2,0,BZ,2025-07-01 14:26:00
ERONA,3E8790,9205940,PA,2025-07-01 14:30:00
SINDO 12,9V5175,9140839,SG,2025-07-01 14:38:00
SPIL KARTINI,3FNG5,9353266,PA,2025-07-01 14:40:00
ASL TIA,D5OC9,9573713,LR,2025-07-01 14:40:00
SAITA I,5BBA4,9643544,CY,2025-07-01 14:45:00
AULAC DIAMOND,3WJH9,9389722,VN,2025-07-01 14:45:00
LIGURIAN SEA,D5HI6,9577032,LR,2025-07-01 14:45:00
MAJESTIC BOLD,9VBV9,1073133,SG,2025-07-01 14:52:00
HERON SPIRIT,9V7687,9289702,SG,2025-07-01 14:52:00
QUEEN STAR 6,9V3846,9797113,SG,2025-07-01 14:53:00
TOLL EMPEROR,9V6673,9355927,SG,2025-07-01 14:54:00
NAVIOS DESTINY,V7PS5,9352418,MH,2025-07-01 14:55:00
GRAZIA COSULICH,9V6694,9673109,SG,2025-07-01 14:55:00
TENG CHONG 188,JVLN8,1021257,MN,2025-07-01 14:55:00
MURCIA MAERSK,OWTB2,9780457,DK,2025-07-01 15:00:00
QUEEN STAR 1,9V8144,9571014,SG,2025-07-01 15:09:00
YUAN JING HE,BOSM6,9896244,CN,2025-07-01 15:10:00
SUPER FORTE,D7GR,9452830,KR,2025-07-01 15:10:00
WAVEMASTER 6,9V6137,9261126,SG,2025-07-01 15:13:00
GAS PLANET,3EZC5,9889552,PA,2025-07-01 15:15:00
HORIZON 6,9V3269,9764609,SG,2025-07-01 15:24:00
BATAMFAST 19,9V9612,9103946,SG,2025-07-01 15:24:00
MILLICENT,5LMG4,9522714,LR,2025-07-01 15:25:00
THINH AN 58,3WJA9,9660736,VN,2025-07-01 15:40:00
LITTLE CONCERT,5LVG6,9958523,LR,2025-07-01 15:40:00
BEACHWAY,5BUC4,9524140,CY,2025-07-01 15:50:00
